LogM,deg, arc,dia,user_res
0.7403626894942439,0.458425,27.5,87.0990942631522,0
0.8268428272953844,0.5594334513347203,33.55929522103901,106.29033519499018,0
0.8656429239677683,0.6117141521687828,36.69551002812134,116.22347952631954,0
0.8841156246240633,0.6382946859686278,38.29002315348697,121.27368494486697,0
0.8927657829602091,0.6511355199930662,39.06031913575682,123.71339703105784,0
0.8967567911168247,0.6571467967535014,39.420923620485986,124.85551790404479,0
0.8987697891034402,0.6601998073541263,39.60406762772203,125.43557889131694,0
0.8999391379239394,0.6619798072196085,39.71084626392372,125.773772436765,0
0.9006604047730488,0.663080122351893,39.776851970719434,125.98282833778701,0
0.9011661043917859,0.6638526734215645,39.82319576614064,126.12961025072899,1
0.9009636440516489,0.6635432692725532,39.80463522930733,126.07082457992102,0
0.9013464087855639,0.6641283398392637,39.83973244386704,126.18198587444141,0
0.9016369190682816,0.6645727402727502,39.86639113813738,126.26642035172084,0
0.901850433583266,0.6648995480459736,39.885995683621694,126.32851264827082,1
0.9017501447781772,0.6647460248368839,39.87678613298644,126.29934379303803,0
